ID,Title,Option 1,Option 2,Option 1 Ask (¢),Option 2 Ask (¢),Status,Expires
KXATPMATCH-25JUL16CAZETC-ETC,Will Tomas Martin Etcheverry be a winner of the round of 16 of ATP Gstaad?,Yes,No,93,93,active,2025-07-16T11:30:00Z
KXATPMATCH-25JUL16CAZETC-CAZ,Will Arthur Cazaux be a winner of the round of 16 of ATP Gstaad?,Yes,No,93,93,active,2025-07-16T11:30:00Z
KXMAXWELLTESTIFY-26JAN,Will the CEO of State Farm testify in front of Congress before Jan 2026?,Yes,No,10,100,active,2026-01-01T15:00:00Z
KXUFCFIGHT-25JUL19POIHOL-POI,"Will Dustin Poirier win the Poirier vs Holloway professional MMA fight scheduled for Jul 19, 2025?",Yes,No,48,83,active,2025-07-20T08:20:00Z
KXUFCFIGHT-25JUL19POIHOL-HOL,"Will Max Holloway win the Poirier vs Holloway professional MMA fight scheduled for Jul 19, 2025?",Yes,No,88,45,active,2025-07-20T08:20:00Z
KXUFCFIGHT-25JUL19COSKOP-KOP,"Will Roman Kopylov win the Costa vs Kopylov professional MMA fight scheduled for Jul 19, 2025?",Yes,No,92,92,active,2025-07-20T08:00:00Z
KXUFCFIGHT-25JUL19COSKOP-COS,"Will Paulo Henrique Costa win the Costa vs Kopylov professional MMA fight scheduled for Jul 19, 2025?",Yes,No,92,92,active,2025-07-20T08:00:00Z
KXUFCFIGHT-25JUL19HOLROD-ROD,"Will Daniel Rodriguez win the Holland vs Rodriguez professional MMA fight scheduled for Jul 19, 2025?",Yes,No,92,92,active,2025-07-20T07:40:00Z
KXUFCFIGHT-25JUL19HOLROD-HOL,"Will Kevin Holland win the Holland vs Rodriguez professional MMA fight scheduled for Jul 19, 2025?",Yes,No,92,92,active,2025-07-20T07:40:00Z
KXUFCFIGHT-25JUL19IGEPIT-PIT,"Will Patricio Pitbull win the Ige vs Pitbull professional MMA fight scheduled for Jul 19, 2025?",Yes,No,92,92,active,2025-07-20T07:20:00Z
KXUFCFIGHT-25JUL19IGEPIT-IGE,"Will Dan Ige win the Ige vs Pitbull professional MMA fight scheduled for Jul 19, 2025?",Yes,No,92,92,active,2025-07-20T07:20:00Z
KXUFCFIGHT-25JUL19JOHZEL-ZEL,"Will Daniel Zellhuber win the Johnson vs Zellhuber professional MMA fight scheduled for Jul 19, 2025?",Yes,No,92,92,active,2025-07-20T07:00:00Z
KXUFCFIGHT-25JUL19JOHZEL-JOH,"Will Michael Johnson win the Johnson vs Zellhuber professional MMA fight scheduled for Jul 19, 2025?",Yes,No,92,92,active,2025-07-20T07:00:00Z
KXUFCFIGHT-25JUL19PHIDE-DE,"Will Vinicius de Oliveira win the Phillips vs de Oliveira professional MMA fight scheduled for Jul 19, 2025?",Yes,No,94,94,active,2025-07-20T06:00:00Z
KXUFCFIGHT-25JUL19PHIDE-PHI,"Will Kyler Phillips win the Phillips vs de Oliveira professional MMA fight scheduled for Jul 19, 2025?",Yes,No,94,94,active,2025-07-20T06:00:00Z
KXUFCFIGHT-25JUL19VETALL-ALL,"Will Brendan Allen win the Vettori vs Allen professional MMA fight scheduled for Jul 19, 2025?",Yes,No,94,94,active,2025-07-20T05:40:00Z
KXUFCFIGHT-25JUL19VETALL-VET,"Will Marvin Vettori win the Vettori vs Allen professional MMA fight scheduled for Jul 19, 2025?",Yes,No,94,94,active,2025-07-20T05:40:00Z
KXUFCFIGHT-25JUL19PRAVER-VER,"Will Nikolay Veretennikov win the Prado vs Veretennikov professional MMA fight scheduled for Jul 19, 2025?",Yes,No,94,94,active,2025-07-20T05:20:00Z
KXUFCFIGHT-25JUL19PRAVER-PRA,"Will Francisco Prado win the Prado vs Veretennikov professional MMA fight scheduled for Jul 19, 2025?",Yes,No,94,94,active,2025-07-20T05:20:00Z
KXUFCFIGHT-25JUL19GAUVAL-VAL,"Will Robert Valentin win the Gautier vs Valentin professional MMA fight scheduled for Jul 19, 2025?",Yes,No,94,94,active,2025-07-20T05:00:00Z
KXUFCFIGHT-25JUL19GAUVAL-GAU,"Will Ateba Gautier win the Gautier vs Valentin professional MMA fight scheduled for Jul 19, 2025?",Yes,No,94,94,active,2025-07-20T05:00:00Z
KXUFCFIGHT-25JUL19FUGDUL-FUG,"Will Adam Fugitt win the Fugitt vs Dulatov professional MMA fight scheduled for Jul 19, 2025?",Yes,No,94,94,active,2025-07-20T04:20:00Z
KXUFCFIGHT-25JUL19FUGDUL-DUL,"Will Islam Dulatov win the Fugitt vs Dulatov professional MMA fight scheduled for Jul 19, 2025?",Yes,No,94,94,active,2025-07-20T04:20:00Z
KXSPOTIFYSONGSJUMP-25JUL18-35,"JUMP streams by Jul 18, 2025?",Yes,No,100,35,active,2025-07-18T14:00:00Z
KXSPOTIFYSONGSJUMP-25JUL18-33,"JUMP streams by Jul 18, 2025?",Yes,No,100,30,active,2025-07-18T14:00:00Z
KXSPOTIFYSONGSJUMP-25JUL18-27,"JUMP streams by Jul 18, 2025?",Yes,No,100,23,active,2025-07-18T14:00:00Z
KXSPOTIFYSONGSJUMP-25JUL18-23,"JUMP streams by Jul 18, 2025?",Yes,No,100,19,active,2025-07-18T14:00:00Z
KXSPOTIFY2D-25JUL14-WHE,"Will the top Song on Jul 14, 2025 be WHERE WAS YOU?",Yes,No,5,100,active,2025-07-15T14:00:00Z
KXSPOTIFY2D-25JUL14-ILMB,"Will the top Song on Jul 14, 2025 be ILMB?",Yes,No,5,100,active,2025-07-15T14:00:00Z
KXSPOTIFY2D-25JUL14-CON,"Will the top Song on Jul 14, 2025 be CONTEST?",Yes,No,5,100,active,2025-07-15T14:00:00Z
KXSPOTIFY2D-25JUL14-VEL,"Will the top Song on Jul 14, 2025 be VELOUR?",Yes,No,5,100,active,2025-07-15T14:00:00Z
KXSPOTIFY2D-25JUL14-MM3,"Will the top Song on Jul 14, 2025 be MM3?",Yes,No,5,100,active,2025-07-15T14:00:00Z
KXSPOTIFY2D-25JUL14-DUM,"Will the top Song on Jul 14, 2025 be DUMBO?",Yes,No,5,100,active,2025-07-15T14:00:00Z
KXSPOTIFY2D-25JUL14-KIC,"Will the top Song on Jul 14, 2025 be KICK OUT?",Yes,No,5,100,active,2025-07-15T14:00:00Z
KXSPOTIFY2D-25JUL14-2000,"Will the top Song on Jul 14, 2025 be 2000 EXCURSION?",Yes,No,5,100,active,2025-07-15T14:00:00Z
KXSPOTIFY2D-25JUL14-CHAM,"Will the top Song on Jul 14, 2025 be CHAMPAIN & VACAY?",Yes,No,5,99,active,2025-07-15T14:00:00Z
KXSPOTIFYD-25JUL14-WHE,"Top USA Song on Spotify on Jul 14, 2025?",Yes,No,5,100,active,2025-07-28T14:00:00Z
KXSPOTIFYD-25JUL14-ILMB,"Top USA Song on Spotify on Jul 14, 2025?",Yes,No,5,100,active,2025-07-28T14:00:00Z
KXSPOTIFYD-25JUL14-CON,"Top USA Song on Spotify on Jul 14, 2025?",Yes,No,5,100,active,2025-07-28T14:00:00Z
KXSPOTIFYD-25JUL14-VEL,"Top USA Song on Spotify on Jul 14, 2025?",Yes,No,5,100,active,2025-07-28T14:00:00Z
KXSPOTIFYD-25JUL14-MM3,"Top USA Song on Spotify on Jul 14, 2025?",Yes,No,5,100,active,2025-07-28T14:00:00Z
KXSPOTIFYD-25JUL14-DUM,"Top USA Song on Spotify on Jul 14, 2025?",Yes,No,5,100,active,2025-07-28T14:00:00Z
KXSPOTIFYD-25JUL14-KIC,"Top USA Song on Spotify on Jul 14, 2025?",Yes,No,5,100,active,2025-07-28T14:00:00Z
KXSPOTIFYD-25JUL14-2000,"Top USA Song on Spotify on Jul 14, 2025?",Yes,No,5,100,active,2025-07-28T14:00:00Z
KXSPOTIFYD-25JUL14-CHA,"Top USA Song on Spotify on Jul 14, 2025?",Yes,No,9,99,active,2025-07-28T14:00:00Z
KXSPOTIFYARTISTD-25JUL15-SZA,"Top USA Artist on Spotify on Jul 15, 2025?",Yes,No,6,100,active,2025-07-29T14:00:00Z
KXSPOTIFYARTISTD-25JUL15-JUI,"Top USA Artist on Spotify on Jul 15, 2025?",Yes,No,6,100,active,2025-07-29T14:00:00Z
KXSPOTIFYARTISTD-25JUL15-ZAC,"Top USA Artist on Spotify on Jul 15, 2025?",Yes,No,100,100,active,2025-07-29T14:00:00Z
KXSPOTIFYARTISTD-25JUL15-TRA,"Top USA Artist on Spotify on Jul 15, 2025?",Yes,No,6,100,active,2025-07-29T14:00:00Z
KXSPOTIFYARTISTD-25JUL15-THE,"Top USA Artist on Spotify on Jul 15, 2025?",Yes,No,6,100,active,2025-07-29T14:00:00Z
KXSPOTIFYARTISTD-25JUL15-TAY,"Top USA Artist on Spotify on Jul 15, 2025?",Yes,No,6,100,active,2025-07-29T14:00:00Z
KXSPOTIFYARTISTD-25JUL15-KPO,"Top USA Artist on Spotify on Jul 15, 2025?",Yes,No,100,100,active,2025-07-29T14:00:00Z
KXSPOTIFYARTISTD-25JUL15-KEN,"Top USA Artist on Spotify on Jul 15, 2025?",Yes,No,100,100,active,2025-07-29T14:00:00Z
KXSPOTIFYARTISTD-25JUL15-KAN,"Top USA Artist on Spotify on Jul 15, 2025?",Yes,No,100,100,active,2025-07-29T14:00:00Z
KXSPOTIFYARTISTD-25JUL15-JUS,"Top USA Artist on Spotify on Jul 15, 2025?",Yes,No,6,100,active,2025-07-29T14:00:00Z
